Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,JPM,META,MSFT,NVDA,SPAX.PVT,TSLA,V,WMT,AAPL,GOOGL,JPM,META,MSFT,NVDA,SPAX.PVT,TSLA,V,WMT,AAPL,GOOGL,JPM,META,MSFT,NVDA,SPAX.PVT,TSLA,V,WMT,AAPL,GOOGL,JPM,META,MSFT,NVDA,SPAX.PVT,TSLA,V,WMT,AAPL,GOOGL,JPM,META,MSFT,NVDA,SPAX.PVT,TSLA,V,WMT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,161.03073120117188,117.95854187011719,113.63226318359375,204.76492309570312,282.3259582519531,19.750699996948242,,292.5033264160156,215.6177520751953,49.95173645019531,161.89670425341123,119.08017825241917,113.91786876293284,207.55179142539598,283.6419191689695,20.005297595782352,,300.0,219.79016854049877,50.197963008731385,156.3958263617354,113.57201255036027,111.6054216103144,191.99510638053184,274.36198065629725,18.460744415559034,,273.8999938964844,214.25951524564815,49.277017713147416,156.71073111363518,115.86107166046905,113.14397907005235,201.96810714307662,277.9979262014816,18.93698897780138,,299.99334716796875,215.3636837336235,49.63835785924236,130216800,48884000,13015600,100890600,33646600,570327000,,124948500,10799100,14955900
2022-04-29,155.13623046875,113.56653594970703,109.96550750732422,199.5296173095703,270.5213317871094,18.517658233642578,,290.2533264160156,208.2598114013672,48.922061920166016,163.54990186297132,117.35890574463856,113.88100184811091,211.4832741821555,282.5696457327582,20.09615635655,,311.4666748046875,216.14539760252646,49.954929600646395,154.74261456190868,113.27294145478096,109.54171366920193,198.96228383038402,269.52706543762076,18.487705010179635,,290.0,207.49763622683471,48.83252466653859,159.25942241026976,116.17904555251677,113.3650801371631,203.50090610223927,281.3316542777626,19.371305106860206,,300.75,213.62435090595238,49.82382396250292,131747600,42676000,14874800,49193400,37073900,500435000,,88133100,7965000,21088800
2022-05-02,155.44129943847656,116.02827453613281,110.96971893310547,210.13963317871094,277.2961120605469,19.502099990844727,,300.9800109863281,206.69638061523438,48.599098205566406,155.70698341755673,116.18999980943521,111.20925703780048,210.88611506777977,277.7542605844876,19.543033590674664,,302.1199951171875,207.2924422568945,49.56161557534029,150.8260801242461,112.06422476007553,108.91523985152133,200.04719864598886,269.2541641761208,18.361906422043727,,282.6766662597656,202.23081627534978,48.06827509825888,154.21123096519486,112.86539470993021,110.44458229940527,200.2263470095032,270.70657918377503,18.511668743114942,,286.92333984375,206.9309018039597,49.552020336445814,123055300,35534000,18545000,49915300,35151100,572049000,,75781500,8803700,20016000
2022-05-03,156.93704223632812,116.77569580078125,113.34666442871094,211.03538513183594,274.6739501953125,19.57098388671875,,303.0833435058594,203.79421997070312,48.76856994628906,158.1474403507243,117.87842536696783,114.39693777301304,213.89191736014857,276.9646928393328,19.793632521219138,,308.02667236328125,208.72882605446813,49.334568189548,153.8274407389376,115.48237962518544,111.27375540249776,207.1138648873915,273.08505147312025,19.102726102256824,,296.1966552734375,201.55655502560992,48.53513706916107,155.62824765941318,115.8764914727861,111.96472507790214,209.46279494721443,276.79896688296844,19.369303837748983,,301.05999755859375,208.72882605446813,48.74298996555405,88966500,24968000,15720900,41556300,25978600,475751000,,63709500,6616900,17950500
2022-05-04,163.37277221679688,121.67926025390625,117.0963134765625,222.36199951171875,282.6671142578125,20.301830291748047,,317.5400085449219,209.6180419921875,49.443302154541016,163.82542898874118,122.26993450529203,117.37270412813052,223.24782396273906,283.5444115470414,20.367725861414897,,318.5,209.89164256419693,49.50725577869229,156.7205525613251,114.56825328439439,113.0794763061696,205.98916860256648,269.75126101959535,18.72133448924937,,295.09332275390625,200.638038825563,48.44880792904005,157.12401860863298,116.47464340177527,113.13475865382695,209.6618462564299,275.4634656066809,19.891481213837118,,301.3133239746094,204.56618262385987,48.615088815637996,108256500,49916000,17128500,41375900,33599300,648855000,,81643800,7191100,20022600
2022-05-05,154.27029418945312,115.95114135742188,114.1666030883789,207.302978515625,270.3556213378906,18.81418800354004,,291.09332275390625,200.55007934570312,49.01966094970703,161.46373326041538,120.46307061064945,116.17502169111513,219.13720312897797,279.1286537463805,19.893477199554358,,315.20001220703125,209.6766480288,49.36948171913869,152.47930702556806,114.45827869555946,112.54513280699845,205.19292807963836,267.42151986859074,18.47073236054234,,285.8999938964844,198.4296676651621,48.58960757514514,161.23740483289234,119.63204464005044,115.39192421004181,217.71391840321272,278.3390832094538,19.835570298208268,,313.00665283203125,207.419436075647,49.308502000989115,130525300,45840000,15055400,41129200,43260400,626331000,,92519100,7749600,23234400
2022-05-06,154.9995574951172,115.19575500488281,113.98233795166016,202.8141326904297,267.80169677734375,18.64545440673828,,288.54998779296875,198.18540954589844,47.99909591674805,157.1282427342657,117.01207587544798,114.50747452785447,208.39781715980772,272.2076978652137,19.481130122104307,,296.0,201.01913628537446,49.40800207626873,151.9444991405495,113.47299621973782,111.64225356841884,200.07703275813088,264.42893181498096,17.96153864595354,,281.03668212890625,195.64481564076476,47.58508897179051,153.74796732614354,114.63643262732876,114.05604305717304,206.36737815973692,267.8796661979223,18.706358724203252,,295.6666564941406,199.094151152587,48.68910749167728,116124600,39710000,14417900,34747200,37780300,633297000,,72903000,8825300,34258200
2022-05-09,149.855224609375,111.97563934326172,112.26874542236328,195.2895965576172,257.9076843261719,16.92318344116211,,262.3699951171875,188.58978271484375,48.560726165771484,153.5705662251753,114.52943140243931,113.62304701428091,201.6197627611841,265.4914834457657,18.226117145161634,,281.8766784667969,196.16268849743463,49.13519824842373,149.29349706523496,111.46757040443748,111.0157866045964,194.66254699243777,256.67947982600253,16.800376947832692,,260.3833312988281,187.6908073014787,47.559407060501556,152.68360662844097,112.71112137267934,112.49906863108652,198.9025581035472,263.2494978241472,18.00546803272832,,278.8166809082031,195.47868708619086,47.64926978488493,131577900,40802000,14312300,36303200,47726000,644455000,,90810300,10314100,28207200
2022-05-10,152.2696990966797,113.85067749023438,109.53250122070312,196.7228546142578,262.7035827636719,17.56716537475586,,266.67999267578125,189.1565399169922,47.87712860107422,154.46737635991622,115.6968542910652,114.03762248292546,202.007959151225,266.84640364213425,18.16921211488798,,275.1199951171875,193.23125020543557,48.875237614843535,150.71260627459526,112.36328947356759,108.30718010091668,193.27909333420237,258.38530837575144,16.99806737570465,,258.0833435058594,186.6061799626297,47.67815027518642,153.26506437118704,114.95788698251471,113.42035798940523,198.57413030842383,264.83835637264633,17.66101653685796,,273.10333251953125,192.2150216194194,48.59923305131325,115366700,39900000,16382400,34452500,39336400,761474000,,84401700,11016500,24861300
2022-05-11,144.37583923339844,113.06195831298828,108.8415298461914,187.85467529296875,253.97926330566406,16.60368537902832,,244.6666717529297,192.22479248046875,47.3764762878418,153.19606667734942,115.81081721712015,113.21767060664844,199.72870748079526,264.5166470895744,17.724909543969456,,269.92333984375,193.78823716991198,48.3810017812687,143.69584140711092,112.6977024843236,108.65727409941884,187.3868787255596,252.76078664473116,16.541785112235157,,242.39999389648438,187.02635156166653,47.14861126940434,151.2743434971103,112.6977024843236,109.91023285840956,195.4090689351842,258.97989628180704,17.319551823930706,,265.0,189.06860472840373,47.94773834418719,142689800,37534000,14630300,31153400,48975900,670167000,,97224600,9427300,27878700
2022-05-12,140.4929656982422,112.30706787109375,108.7493896484375,190.34292602539062,248.91046142578125,16.1494083404541,,242.6666717529297,189.899658203125,47.33153533935547,144.08018734631574,113.7511601444871,109.00735047624734,197.12097886107114,253.32622042112627,16.761439365221005,,253.22000122070312,191.94579723345694,48.18843195639985,136.78748878802156,109.30193451554294,106.28953986037253,183.91322227752548,243.71487425735856,15.542371423645005,,226.6666717529297,185.96401128601835,47.02343776182969,140.69992744454566,110.84754643399383,107.79124441021142,186.18252590919263,251.1914465609955,16.1933393515041,,233.6666717529297,190.44790455205674,47.45349108956103,182602000,53836000,16318800,38262200,51033800,708728000,,140313000,9308600,25244400
2022-05-13,144.9770050048828,115.4983139038086,109.71676635742188,197.68829345703125,254.5349578857422,17.67798614501953,,256.5299987792969,195.0492401123047,47.51447296142578,145.95265608735048,117.31413370158947,110.78546947844896,198.95234029762156,256.406551582537,17.89963503357807,,262.45001220703125,196.33174793658893,47.620382205354744,141.03500230205145,113.06445432012579,108.67570792724085,190.3827281278088,248.9104789562866,16.566748093964986,,250.52333068847656,192.3765321687953,46.90148776953869,142.49353909158592,113.98803256594428,110.01158682852471,191.67663302715846,250.86004208929378,16.76143927351917,,257.82666015625,192.86603988423755,47.40535735149772,113990900,35038000,10443200,24549800,34925100,670437000,,92150700,6684500,19962300
2022-05-16,143.42974853515625,113.90045166015625,108.95208740234375,199.1016387939453,254.90538024902344,17.23668670654297,,241.4566650390625,193.6590576171875,47.565826416015625,145.38105052063565,115.61724230928375,110.05763593968285,204.40663846878425,259.11644376588214,17.759857858030514,,256.586669921875,195.7443654550954,48.05364951623148,142.08946713795373,113.34759858622417,108.00315695249489,195.01091751605253,249.3296284853974,17.07893763682731,,239.69667053222656,191.76956483414878,47.00419078120379,143.43961316503615,114.40852067379373,109.21004825912914,196.12567410877142,253.404208303593,17.481299931962116,,255.72000122070312,193.17934957309544,47.94132018558096,86643800,25990000,10269000,27112600,32550900,521446000,,86098500,5161300,21449100
2022-05-17,147.07614135742188,115.9188003540039,112.56355285644531,201.66954040527344,260.09124755859375,18.14824104309082,,253.8699951171875,199.7191619873047,42.154850006103516,147.5984555661727,116.34377055599607,113.29137500073642,204.49623000773238,261.5631476246742,18.34193434694822,,254.82666015625,200.5023773749731,44.109344754058,144.55324673702833,114.32343087143941,111.30137920942308,197.42952878240413,255.84118408639657,17.606100889632476,,242.9499969482422,195.94994633710786,41.92698501892345,146.70164625018603,116.28455202745589,111.51327964288753,201.17188581721405,259.39913116704525,18.04540336617062,,249.1199951171875,198.59330013781266,43.785200648650665,78336300,23054000,11160200,24872700,28828800,585830000,,80236200,7265600,132940200
2022-05-18,138.77821350097656,111.36705780029297,110.63805389404297,191.33824157714844,248.2493438720703,16.91120147705078,,236.60333251953125,195.79330444335938,39.2921142578125,145.2233813560545,114.8509052445683,112.3700889335015,200.0571444967755,257.55088195954716,18.089334859232448,,253.5,201.1485201286116,41.16637665705617,137.87153963890293,111.02469285947781,110.1221321523693,190.7311023719334,246.9694082925234,16.837319149393423,,233.60333251953125,194.9513505621701,39.00326951900602,144.72078142086878,114.4528070059292,111.75282441701243,199.0618353201746,256.9646448671213,17.676988175468864,,248.17333984375,198.56391994845217,41.08935041395753,109742900,35126000,12664900,23960000,31356000,545161000,,87811800,8748200,104253000
2022-05-19,135.35850524902344,109.85877227783203,108.99815368652344,190.39266967773438,247.33090209960938,17.096904754638672,,236.47332763671875,193.228271484375,38.213768005371094,139.6060101724561,112.4722766682842,110.2326897475555,194.3739060489008,251.75696064928601,17.65901362945068,,244.6666717529297,196.21427154666063,39.08671493378815,134.61937984366847,109.47659675819857,108.37167427396386,188.7106100681742,246.09982214872184,16.707520567821962,,231.3699951171875,189.2534712113545,38.0629292344156,137.85182041341724,110.90128865895407,108.88760304418776,190.3030955043139,248.0734561306582,16.91020037585084,,235.6666717529297,192.22968649718968,38.791453796777674,136095600,34144000,12765800,24446900,32692300,621310000,,90296700,9012400,71008500
2022-05-20,135.5950164794922,108.3897933959961,108.1044921875,192.6321258544922,246.76422119140625,16.667587280273438,,221.3000030517578,194.85345458984375,38.255489349365234,138.65992377824847,111.64971302278167,110.2511060668527,196.98163715930048,252.60700218610816,17.382454041124078,,240.52667236328125,197.42827014602753,38.78182183970912,130.68722797221466,105.29310247883514,105.96709320410545,186.9887248068325,240.78466843805458,15.730072820642876,,211.0,189.94859229209717,37.6360841006542,137.07326729810367,111.41831352862852,110.05763542516814,194.05542583372602,251.3368168478214,17.304578335009833,,237.99667358398438,195.48002391493668,38.39670166986167,137426100,48962000,13150100,31465600,39199300,739105000,,144973200,6966600,49356000
2022-05-23,141.03500366210938,110.95751953125,114.7930908203125,195.30950927734375,254.6685333251953,16.87126922607422,,224.96665954589844,203.20443725585938,39.346675872802734,141.18282274987226,111.61388163619868,116.60803890870488,196.06595394738446,255.4990332782694,16.88824253127764,,226.65333557128906,203.59605238522255,39.72216964469043,135.65416330433425,108.22358859840143,110.9697239832447,190.34292636344654,247.61421847946846,16.153406772422503,,212.68666076660156,196.55692915743506,38.4673124750347,135.79213279876197,109.06606499448633,110.9789388800887,194.27439444888316,249.62695761286102,16.248255803306254,,218.33999633789062,196.6646214506862,38.48656536396067,117726300,37184000,24376700,25059200,33175400,639889000,,88903500,12187400,43680900
2022-05-24,138.3248748779297,105.46578216552734,116.41456604003906,180.42962646484375,253.6621856689453,16.128442764282227,,209.3866729736328,198.37791442871094,39.83769989013672,139.91153156082976,105.95196030949565,117.45562443864367,182.81836215094546,255.33293591210185,16.570742704777313,,217.97332763671875,200.37509946448907,39.972492131052505,135.3388090457555,101.3997188941299,113.4203642530605,175.28388041051807,247.68263337364417,15.755034857703096,,206.85667419433594,194.8534526731132,38.858847451357725,138.76834717267448,105.26872621912392,114.57198032497533,179.70305509829623,251.97190512383696,16.483880450468337,,217.8433380126953,199.63105306656993,38.90056693540574,104132700,76780000,19324900,50406300,29043900,588550000,,89092500,7458500,34584900
2022-05-25,138.48255920410156,105.30155944824219,117.22528839111328,182.96766662597656,256.4956359863281,16.948144912719727,,219.60000610351562,199.5625,39.59379577636719,139.73413423560646,105.99325219877339,117.79649243065732,184.5800624459455,258.5083603731719,17.083929432634935,,223.10667419433594,200.6492077157718,40.01101273175009,136.33415991086508,103.36232921245352,115.31821266595422,178.47882822532142,251.22934212125796,15.974687040333203,,207.6699981689453,196.26322280879097,39.346677846078904,136.42285136269513,104.48595502313039,116.3408481881749,179.55374864716,252.21617401226834,15.994655856173082,,207.9499969482422,196.38069987906152,39.79598417555227,92482700,40258000,12780400,28030200,28547900,781132000,,92139300,5457200,27121800
